"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"161",161,"Visa","187","$18,358 ","21.70%","$6,699.00 ","11.80%","$67,977 ","$270,222 ","15,000","Alfred Kelly Jr","Chairman &  Chief Executive Officer","Business Services","Financial Data Services","10","SF","CA",37.7749295,-122.4194155,"male","VGZ"
"162",162,"Danaher","144","$18,330 ","-7.90%","$2,492.10 ","-2.40%","$46,649 ","$68,385 ","67,000","Thomas Joyce Jr","President, Chief Executive Officer &  Director","Health Care","Medical Products and Equipment","20","Leavenworth","WA",47.7510741,-120.7401385,"male","DHR"
"163",163,"Kimberly-Clark","155","$18,259 ","0.30%","$2,278.00 ","5.20%","$15,151 ","$38,553 ","42,000","Thomas Falk","Chairman &  Chief Executive Officer","Household Products","Household and Personal Products","24","Irving","TX",32.8140177,-96.9488945,"male","KMB"
"164",164,"AECOM","161","$18,203 ","4.60%","$339.40 ","253.10%","$14,397 ","$5,671 ","87,000","Michael Burke","Chairman &  Chief Executive Officer","Engineering &  Construction","Engineering, Construction","10","Los Angeles","CA",34.0522342,-118.2436849,"male","MTSI"
"165",165,"PNC Financial Services","166","$18,035 ","9.80%","$5,338.00 ","36.80%","$380,768 ","$71,323 ","51,632","William Demchak","Chairman, President &  Chief Executive Officer","Financials","Commercial Banks","24","Pittsburgh","PA",40.4406248,-79.9958864,"male","CCNE"
"166",166,"CenturyLink","160","$17,656 ","1.10%","$1,389.00 ","121.90%","$75,611 ","$17,578 ","51,000","Jeffrey Storey","President, Chief Executive Officer &  Director","Telecommunications","Telecommunications","9","Monroe","LA",32.5093109,-92.1193012,"male","CTL"
"167",167,"NextEra Energy","170","$17,195 ","6.40%","$5,378.00 ","84.70%","$97,827 ","$76,895 ","14,000","James Robo","Chairman, President &  Chief Executive Officer","Energy","Utilities: Gas and Electric","24","North Palm Beach","FL",26.8797819,-80.0533743,"male","NEE"
"168",168,"PG& E Corp.","157","$17,135 ","-3.00%","$1,646.00 ","18.20%","$68,012 ","$22,664 ","23,000","Geisha Williams","President, Chief Executive Officer &  Director","Energy","Utilities: Gas and Electric","24","SF","CA",37.7749295,-122.4194155,"female","CEN"
"169",169,"Synnex","198","$17,046 ","21.20%","$301.20 ","28.20%","$7,699 ","$4,702 ","113,600","Dennis Polk","President, Chief Executive Officer &  Director","Wholesalers","Wholesalers: Electronics and Office Equipment","12","Fremont","CA",37.5482697,-121.9885719,"male","SNX"
"170",170,"WellCare Health Plans","195","$17,007 ","19.50%","$373.70 ","54.40%","$8,365 ","$8,622 ","8,900","Kenneth Burdick","Chairman &  Chief Executive Officer","Health Care","Health Care: Insurance and Managed Care","10","Tampa","FL",27.950575,-82.4571776,"male","WCG"
"171",171,"Performance Food Group","171","$16,762 ","4.10%","$96.30 ","41.00%","$3,804 ","$3,104 ","14,000","George Holm","President, Chief Executive Officer &  Director","Wholesalers","Wholesalers: Food and Grocery","10","Richmond","VA",37.5407246,-77.4360481,"male","PFGC"
